,pl_name,rowid,st_teff,st_lum,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbper,pl_masse,pl_rade,pl_dens,pl_eqt,hz_inner,hz_outer,is_habitable
36,55 Cnc f,124,5248.315,-0.197,12.5855,0.7785857142857143,0.161,260.81,45.90855,,,,0.7599826145450145,1.094868762577251,True
56,BD+14 4559 b,184,4936.0,-0.32,49.352,0.7785,0.29,268.94,,,,,0.6596349488526612,0.9503029232259419,True
187,GJ 1002 b,510,3024.0,-2.852,4.84867,0.0457,,10.3465,,,,231.0,0.035752272961817204,0.05150650305397266,True
191,GJ 1061 d,514,2953.0,-2.77,3.67278,0.054,0.53,13.031,,,,,0.039291956758022537,0.05660594762506492,True
209,GJ 180 c,571,3371.0,-1.886,11.9407,0.129,0.09,24.329,,,,,0.10871855148348086,0.156625353861775,True
219,GJ 273 b,585,3382.0,-2.056,5.921535,0.091101,0.1,18.6498,,,,,0.08939302987018437,0.1287840460082036,True
232,GJ 3293 b,606,3466.0,-1.658,20.1903,0.143395,0.065,30.59935,,,,,0.14135255320666784,0.20363952023977877,True
234,GJ 3293 d,610,3466.0,-1.658,20.1903,0.19394,0.12,48.1345,,,,,0.14135255320666784,0.20363952023977877,True
263,GJ 422 b,664,3323.0,-1.959,12.6631,0.11499999999999999,0.08,23.145000000000003,,,,,0.09995480066839851,0.14399985845331884,True
281,GJ 667 C c,732,3550.0,-1.863,7.24396,0.1245025,0.17325000000000002,28.134500000000003,,,,,0.11163584330576617,0.16082814959211478,True
283,GJ 667 C f,737,3350.0,-1.863,7.24396,0.156,0.03,39.026,,,,,0.11163584330576617,0.16082814959211478,True
294,GJ 687 b,757,3438.1,-1.672,4.54939,0.16558250000000002,0.10075,38.1435,,,,,0.13909248218305273,0.20038354948781148,True
306,GJ 876 c,795,3276.685,-1.8943999999999999,4.67517,0.13264700000000001,0.22344428571428573,30.193645714285715,254.3949,,,,0.10767221750461532,0.1551179530781809,True
315,GJ 96 b,819,3785.0,-1.052,11.9315,0.291,0.44,73.94,,,,,0.28399039869140913,0.40913069647682904,True
480,HD 100777 b,1765,5557.5,0.021,49.5336,1.04,0.3666666666666667,383.46667,390.92894,,,,0.9767955162637778,1.4072202149295143,True
485,HD 10180 g,1776,5911.0,0.173,38.9607,1.4245,0.2265,602.935,,,,,1.1635998522261988,1.6763398345693485,True
499,HD 103891 b,1806,6072.0,0.786,55.5213,3.2625,0.31,1906.5,918.5241,,,,2.3566965032079277,3.3951742248500687,True
515,HD 10697 b,1855,5633.226000000001,0.477,33.1205,2.1301666666666668,0.10215,1075.6366500000001,1988.49343,,,,1.6512151225379037,2.3788226511526824,True
527,HD 108874 b,1889,5563.4875,-0.001,59.5175,1.0492857142857142,0.11314285714285714,395.50687166666665,,,,,0.9523655065259886,1.3720251275427104,True
595,HD 125612 b,2041,5892.25,0.0485,57.6207,1.3322,0.44026,548.7089579999999,,,,,1.00821616756086,1.4524863683211984,True
636,HD 137388 b,2141,5210.5,-0.337,40.4841,0.89,0.36,330.0,,,,,0.6468501116117564,0.9318844506690649,True
642,HD 13908 c,2148,6255.0,0.602,79.5515,2.03,0.12,931.0,,,,,1.9067934763535672,2.7470215423223334,True
660,HD 142415 b,2198,5992.5,0.06,35.5318,1.0550000000000002,0.5,386.29999499999997,,,,,1.0216535711984864,1.4718449604934507,True
672,HD 147379 b,2227,4115.515,-1.034,10.7643,0.3246,0.06075,86.623,,,,,0.28993701101794545,0.4176976820300174,True
673,HD 147513 b,2231,5883.0,-0.01,12.9032,1.32,0.26,528.4,,,,,0.9425483932383479,1.3578821057529888,True
701,HD 154391 b,2292,4909.0,1.581,100.947,7.46,0.2,5163.0,2892.2385,,,,5.885775019591905,8.479340302233968,True
729,HD 159868 b,2337,5548.0,0.556,55.8503,2.2175,0.1835,1131.725005,,,,,1.808438138675426,2.6053259498238077,True
733,HD 160691 b,2348,5783.8533333333335,0.278,15.5981,1.5364,0.25162,660.0391666666667,1366.66215,,,,1.3131177061451693,1.89174269322747,True
739,HD 16175 b,2369,6026.25,0.508,59.859,2.1245000000000003,0.6255,989.125,1875.1876,,,,1.7112113708458734,2.4652562311939183,True
752,HD 165155 b,2401,5426.0,-0.155,63.3574,1.13,0.2,434.5,,,,,0.7976339990031162,1.1491112201308908,True
799,HD 181720 b,2534,5758.5,0.288,60.2046,1.815,0.26,956.0,,,,,1.32832289256134,1.9136480412151944,True
800,HD 183263 b,2536,5893.498333333333,0.25,54.1955,1.499857142857143,0.3705857142857143,628.24429,,,,,1.2714627975249333,1.8317325595961764,True
831,HD 191939 g,2652,5348.0,-0.187,53.6089,0.812,0.03,284.0,,,,278.0,0.7687827984684565,1.107546745334106,True
887,HD 210277 b,2794,5540.166,-0.032,21.2985,1.1182,0.47000000000000003,441.28459999999995,,,,,0.9189749164545621,1.3239209823510292,True
922,HD 218566 b,2868,4830.95,-0.452,28.8274,0.6882666666666667,0.29,225.5233333333333,,,,,0.5666353403219562,0.8163230605771881,True
940,HD 221287 b,2923,6304.0,0.22,55.9231,1.25,0.08,456.1,,,,,1.228297753151809,1.769546849272147,True
1037,HD 34445 f,3156,5836.0,0.303,46.0907,1.543,0.031,676.8,,,,,1.3514614354329464,1.9469825771859195,True
1062,HD 40307 g,3235,4911.719999999999,-0.612,12.9363,0.60345,0.25525,197.07150000000001,,,,255.0,0.47130674750623563,0.6789879473037561,True
1067,HD 4113 b,3245,5688.0,0.086,41.8727,1.28,0.901,526.57195,,,,,1.0526976596625308,1.5165686187343903,True
1076,HD 43197 b,3273,5508.0,-0.137,62.4112,0.901,0.786,318.36036,,,,,0.8143360431299336,1.173173015803134,True
1084,HD 45364 c,3290,5450.0,-0.22,34.354,0.8996,0.0582,344.14,,,,,0.7401225857152176,1.0662574170366088,True
1091,HD 4732 c,3304,4928.5,1.154,54.7841,4.6625,0.20850000000000002,2958.1,,,,,3.6000095878687826,5.186352907685722,True
1200,HD 82943 b,3595,5960.862,0.18225,27.5902,1.176612,0.1812,440.41999999999996,534.25,,,,1.1760577750304417,1.6942873379252381,True
1212,HD 86264 b,3632,6210.0,0.66,67.8107,2.8320000000000003,0.7636666666666666,1481.2637433333332,3513.2752149999997,,,,2.038466869565715,2.9367167831494414,True
1303,HIP 56640 b,3829,4769.0,1.05,122.324,4.016666666666667,0.11299999999999999,2623.49201,1965.7687,,,,3.193770149272093,4.601104162603949,True
1319,HIP 67851 c,3862,4861.666666666667,1.2389999999999999,64.1181,4.1095,0.1815,2470.365225,2103.48783,,,,3.970120215439025,5.719552690245379,True
1868,KIC 3526061 b,5809,4829.0,1.215,401.229,5.14,0.85,3552.0,,,,,3.8619234176291193,5.563679000682266,True
2132,Kepler-1086 c,7690,4300.16,-0.86,466.08400000000006,0.49805,0.0,161.5159063775,,2.843666666666667,,205.0,0.35424494153094443,0.5103428859559299,True
2215,Kepler-1143 c,8542,4902.571428571428,-0.623,555.189,0.6192333333333333,0.0,210.630699995,,3.2274000000000003,,231.33333333333334,0.46537565172065715,0.6704433156513977,True
2325,Kepler-1229 b,9599,3729.181818181818,-1.308,265.482,0.2974333333333333,0.0,86.82908142900001,,1.438,,204.0,0.21149673018780193,0.304692711172721,True
2755,Kepler-1540 b,13604,4443.75,-0.818,244.96,0.4255,0.0,125.41317320571429,,2.533333333333333,,245.0,0.3717950962721874,0.5356265119716218,True
2762,Kepler-1544 b,13659,4839.6,-0.582,335.09,0.5416000000000001,0.0,168.81113643555557,,1.7764285714285715,,255.6,0.48786948778419914,0.7028490549211702,True
2774,Kepler-1554 b,13771,5299.0,-0.393,946.847,0.627275,0.0,198.08838886125,,2.8441666666666667,,271.5,0.606462088822948,0.87369945579231,True
2823,Kepler-1593 b,14184,4565.2,-0.6849999999999999,638.249,0.49626000000000003,0.0,174.51008018000002,,2.3047142857142857,,201.4,0.43331493436807805,0.6242550512577809,True
2902,Kepler-1652 b,14798,3587.1666666666665,-1.638,,0.16381666666666664,0.0,38.097247065,,1.3216666666666668,,247.5,0.14464507713737565,0.20838289401278043,True
2903,Kepler-1653 b,14806,4791.333333333333,-0.636,,0.4699,0.0,140.2520450142857,,1.9463333333333335,,265.2,0.45846233018404176,0.660483640717749,True
2972,Kepler-1704 b,15371,5747.604,0.456,835.4550000000002,1.87805,0.23,911.1048946200001,1322.16617,10.99225,4.07,239.5,1.611772187651318,2.3219991969246605,True
2975,Kepler-1708 b,15381,6157.0,0.182,1666.69,1.64,0.4,737.1131,1462.01067,9.96,,,1.17571932710169,1.6937997530017708,True
3018,Kepler-174 d,15747,4717.666666666667,-0.57,384.757,0.6545500000000001,0.0,247.3537412290909,,2.2415000000000003,,197.8,0.4946564284179214,0.7126266592388392,True
3185,Kepler-1868 b,17164,4627.2825,-0.662,274.18,0.6134000000000001,0.0,211.03360292624998,,3.5416666666666665,,213.4,0.4449422610502052,0.6410059565191644,True
3419,Kepler-22 b,19140,5589.090909090909,-0.16066666666666665,194.642,0.8298285714285714,0.10285714285714286,289.863821044,22.55,2.191111111111111,9.95,264.14285714285717,0.7924471796736343,1.1416388301678897,True
3608,Kepler-283 c,21293,4472.416666666667,-0.9440000000000001,468.094,0.35235,0.0,92.74752356100001,,17.60622222222222,,290.0,0.32159083063356236,0.4632997493011777,True
3647,Kepler-296 e,21713,3687.9,-1.569,,0.15906666666666666,0.06142857142857144,34.14203102416666,,1.341,4.1,269.0,0.15660429090966013,0.22561193232715934,True
3999,Kepler-440 b,25443,3947.2,-1.057,301.03,0.31976,0.068,101.11121884555557,,1.629857142857143,,208.0,0.28236031480485013,0.4067823165354768,True
4001,Kepler-442 b,25462,4510.2,-0.8525,365.965,0.39508,0.008,112.30459036111111,,1.4721428571428572,,255.25,0.3573169822158099,0.5147686205962404,True
4002,Kepler-443 b,25472,4795.4,-0.5905,802.271,0.55432,0.022,177.67021973333334,,2.2600000000000002,,242.75,0.483118488017374,0.6960045283015411,True
4046,Kepler-47 c,25851,5636.0,-0.076,1025.02,0.9774,0.22749999999999998,303.182,4451.085,4.635,0.17,,0.8735819608315876,1.2585256322450216,True
4168,Kepler-553 c,27085,5299.6,-0.26433333333333336,728.525,0.9025333333333333,0.057666666666666665,328.24006156555555,2129.45033,11.397375,7.53,238.16666666666666,0.703294126983276,1.0132005072234698,True
4342,Kepler-68 d,28850,5827.0575,0.21250000000000002,144.166,1.4435313333333333,0.14594625,620.8962414,267.0,,,,1.2177374359583426,1.754333130962346,True
4371,Kepler-705 b,29136,3649.7272727272725,-1.3355,276.881,0.22821666666666665,0.0,56.056087508,,2.1346249999999998,,239.66666666666666,0.2049055196681563,0.2951970853946879,True
4378,Kepler-712 c,29206,5132.7,-0.484,872.493,0.6716,0.0,226.89051157666665,,4.5404285714285715,,240.8,0.5461395868133473,0.7867958584378425,True
4779,LP 890-9 c,32954,2850.0,-2.841,32.4298,0.03984,,8.457463,25.3,1.367,,272.0,0.036207926700264105,0.0521629404977104,True
4993,Proxima Cen b,33586,2975.0,-2.803,1.30119,0.04835333333333333,0.11249999999999999,11.185825,,,,225.0,0.037827153119830585,0.05449567863196957,True
5085,TOI-1288 c,33855,5306.5,-0.161,114.865,1.07,0.065,429.5,,,,,0.7921431251761618,1.141200794132548,True
